date,Date,Count
Washington County,02-01-2023,266
Washington County,03-01-2023,272
Washington County,04-01-2023,271
Wicomico County,07-01-2020,82
Wicomico County,08-01-2020,89
Wicomico County,09-01-2020,91
Wicomico County,10-01-2020,92
Wicomico County,11-01-2020,93
Wicomico County,12-01-2020,94
Wicomico County,01-01-2021,98
Wicomico County,02-01-2021,101
Wicomico County,03-01-2021,105
Wicomico County,04-01-2021,107
Wicomico County,05-01-2021,111
Wicomico County,06-01-2021,117
Wicomico County,07-01-2021,119
Wicomico County,08-01-2021,122
Wicomico County,09-01-2021,129
Wicomico County,10-01-2021,130
Wicomico County,11-01-2021,132
Wicomico County,12-01-2021,134
Wicomico County,01-01-2022,133
Wicomico County,02-01-2022,142
Wicomico County,03-01-2022,148
Wicomico County,04-01-2022,152
Wicomico County,05-01-2022,148
Wicomico County,06-01-2022,153
Wicomico County,07-01-2022,151
Wicomico County,08-01-2022,154
Wicomico County,09-01-2022,153
Wicomico County,10-01-2022,157
Wicomico County,11-01-2022,164
Wicomico County,12-01-2022,169
Wicomico County,01-01-2023,168
Wicomico County,02-01-2023,167
Wicomico County,03-01-2023,169
Wicomico County,04-01-2023,173
Worcester County,07-01-2020,62
Worcester County,08-01-2020,63
Worcester County,09-01-2020,64
Worcester County,10-01-2020,68
Worcester County,11-01-2020,70
Worcester County,12-01-2020,73
Worcester County,01-01-2021,73
Worcester County,02-01-2021,76
Worcester County,03-01-2021,78
Worcester County,04-01-2021,82
Worcester County,05-01-2021,82
Worcester County,06-01-2021,83
Worcester County,07-01-2021,84
Worcester County,08-01-2021,85
Worcester County,09-01-2021,81
Worcester County,10-01-2021,84
Worcester County,11-01-2021,87
Worcester County,12-01-2021,86
Worcester County,01-01-2022,88
Worcester County,02-01-2022,86
Worcester County,03-01-2022,88
Worcester County,04-01-2022,90
Worcester County,05-01-2022,95
Worcester County,06-01-2022,98
Worcester County,07-01-2022,102
Worcester County,08-01-2022,106
Worcester County,09-01-2022,113
Worcester County,10-01-2022,115
Worcester County,11-01-2022,119
Worcester County,12-01-2022,124
Worcester County,01-01-2023,123
Worcester County,02-01-2023,126
Worcester County,03-01-2023,130
Worcester County,04-01-2023,132
